id,timestamp_s,latency_ms
1,0.023006,51.104
2,0.041487,41.515
3,0.136371,47.689
4,0.193760,39.971
5,0.392504,64.503
6,0.459533,41.808
7,0.624321,49.301
8,0.626436,44.612
9,0.678274,93.694
10,0.736419,98.449
11,0.763916,96.139
12,0.769827,104.236
13,0.879877,87.235
14,0.957953,73.509
15,0.958746,60.086
16,0.981371,50.424
17,0.982220,49.229
18,1.149057,204.842
19,1.189472,54.674
20,1.202754,68.350
21,1.208867,57.914
22,1.222207,49.966
23,1.300123,131.339
24,1.350018,90.888
25,1.400942,146.997
26,1.447007,94.135
27,1.464874,51.882
28,1.469571,273.758
29,1.477196,44.030
30,1.535735,59.475
31,1.598319,107.633
32,1.643520,58.157
33,1.669070,103.186
34,1.716608,108.810
35,1.755854,96.402
36,1.776364,57.255
37,1.801012,43.736
38,1.891079,57.187
39,1.966982,93.314
40,1.976613,55.757
41,1.992833,51.960
42,1.994962,88.471
43,2.012547,128.585
44,2.044388,43.991
45,2.187604,150.288
46,2.234001,65.573
47,2.268865,52.977
48,2.391363,55.682
49,2.444515,69.057
50,2.478893,113.567
51,2.500323,63.076
52,2.570464,55.747
53,2.586772,80.795
54,2.613628,64.981
55,2.618309,63.034
56,2.645292,43.603
57,2.650456,101.503
58,2.746028,33.170
59,2.809323,64.564
60,2.848826,84.103
61,2.891994,97.476
62,2.894305,54.639
63,2.905930,67.900
64,2.911990,85.317
65,2.999044,83.873
66,3.082270,62.272
67,3.126188,60.686
68,3.141720,65.776
69,3.274377,54.281
70,3.321104,58.801
71,3.361796,80.048
72,3.374321,57.870
73,3.458121,140.659
74,3.495897,27.271
75,3.512345,168.153
76,3.668713,48.738
77,3.672937,34.188
78,3.734611,55.169
79,3.787791,54.229
80,3.860086,54.273
81,3.905450,74.811
82,3.907027,68.001
83,3.962536,68.817
84,3.988245,84.168
85,4.162723,49.586
86,4.215131,34.776
87,4.226543,65.190
88,4.228238,61.905
89,4.262386,59.302
90,4.288903,32.064
91,4.315717,58.269
92,4.318633,96.265
93,4.339014,68.720
94,4.388658,52.896
95,4.462205,37.815
96,4.493698,87.546
97,4.592827,52.693
98,4.625005,84.402
99,4.630362,62.484
100,4.751885,68.326
101,4.755932,78.418
102,4.873008,90.535
103,4.873198,34.314
104,4.905113,35.212
105,4.981589,135.105
106,5.109786,38.605
107,5.154980,81.322
108,5.156029,81.852
109,5.208791,58.478
110,5.229997,116.228
111,5.238105,35.863
112,5.272169,111.965
113,5.318283,30.141
114,5.415479,46.030
115,5.440983,48.086
116,5.489887,130.169
117,5.639023,56.232
118,5.815303,99.407
119,5.882449,96.368
120,5.901848,43.966
121,5.927763,58.912
122,5.936392,40.881
123,5.981546,120.839
124,6.028064,40.189
125,6.144353,69.355
126,6.248734,66.802
127,6.305733,34.194
128,6.352684,105.298
129,6.451210,71.425
130,6.451319,108.350
131,6.583285,107.981
132,6.589823,59.855
133,6.698426,43.693
134,6.755195,90.078
135,6.759363,96.753
136,6.825165,58.235
137,6.847838,33.360
138,6.901100,94.501
139,6.922983,52.912
140,6.926752,65.663
141,7.007396,71.087
142,7.038196,99.588
143,7.108491,81.792
144,7.158337,66.006
145,7.203642,31.600
146,7.218687,51.918
147,7.250154,72.350
148,7.301176,40.381
149,7.392593,45.895
150,7.492054,79.637
151,7.529604,188.771
152,7.597403,40.180
153,7.604945,39.776
154,7.666971,57.315
155,7.687861,62.366
156,7.687878,75.813
157,7.825926,125.211
158,7.847274,73.059
159,7.895204,71.395
160,7.919095,56.837
161,7.934227,95.731
162,7.980939,40.198
163,8.042164,24.957
164,8.090248,47.232
165,8.107302,49.106
166,8.127458,69.898
167,8.134335,89.648
168,8.136255,43.346
169,8.145297,144.317
170,8.235701,74.222
171,8.247056,61.015
172,8.296599,64.604
173,8.310142,34.983
174,8.336872,78.401
175,8.380034,60.420
176,8.386389,42.646
177,8.394874,36.905
178,8.417176,45.148
179,8.616216,74.146
180,8.633063,154.855
181,8.718906,70.612
182,8.748520,143.621
183,8.794337,58.778
184,8.871715,60.657
185,8.881112,62.945
186,9.136307,93.597
187,9.138474,64.928
188,9.177879,72.381
189,9.251636,60.149
190,9.293693,62.287
191,9.323829,34.220
192,9.350227,47.807
193,9.354350,75.900
194,9.365812,91.291
195,9.431177,149.085
196,9.524555,40.634
197,9.578830,59.455
198,9.588214,59.500
199,9.674240,45.812
200,9.692343,52.795
201,9.701821,73.642
202,9.723255,51.141
203,9.790789,53.097
204,9.825917,37.897
205,9.877869,63.233
206,9.933580,36.236
207,9.938815,64.403
208,9.990200,36.941
209,10.121304,70.191
210,10.243272,102.371
211,10.253867,40.442
212,10.290121,74.599
213,10.291164,35.424
214,10.370898,56.511
215,10.479148,66.954
216,10.483504,54.421
217,10.497238,48.046
218,10.574376,62.788
219,10.587481,36.553
220,10.605076,80.391
221,10.644008,55.172
222,10.673433,33.885
223,10.802942,44.816
224,10.910541,108.936
225,10.960297,72.053
226,11.080091,48.248
227,11.087806,86.235
228,11.243581,88.285
229,11.251256,47.374
230,11.327998,43.731
231,11.424675,107.684
232,11.453642,31.959
233,11.471622,88.380
234,11.552454,57.809
235,11.569683,112.390
236,11.665752,123.020
237,11.670293,93.316
238,11.778865,150.079
239,11.799273,113.832
240,11.847272,91.743
241,11.931213,57.562
242,11.958722,49.247
243,11.999239,27.384
244,12.094731,59.076
245,12.110800,81.306
246,12.289433,89.240
247,12.296740,46.145
248,12.376364,74.094
249,12.420934,61.393
250,12.438578,65.939
251,12.439157,86.172
252,12.445561,90.613
253,12.652923,101.866
254,12.716714,146.669
255,12.830211,60.486
256,12.963458,120.172
257,12.967246,82.189
258,13.092704,93.112
259,13.274110,71.840
260,13.290349,160.970
261,13.315936,39.137
262,13.360535,93.238
263,13.368440,77.506
264,13.403637,27.499
265,13.494761,66.310
266,13.538411,79.823
267,13.560916,118.815
268,13.565297,34.714
269,13.620947,26.337
270,13.622390,82.181
271,13.691617,35.772
272,13.847643,61.107
273,13.867610,62.127
274,13.913947,70.075
275,14.013870,60.328
276,14.072437,34.921
277,14.228941,49.441
278,14.285522,40.613
279,14.336232,65.294
280,14.686454,142.650
281,14.713674,54.158
282,14.768528,84.790
283,14.865395,75.955
284,14.910264,72.030
285,14.987488,40.225
286,15.009217,76.535
287,15.030615,55.877
288,15.118850,65.806
289,15.135947,26.614
290,15.160536,86.575
291,15.183738,58.153
292,15.448846,75.455
293,15.486948,51.142
294,15.524592,65.715
295,15.566374,55.578
296,15.606440,55.535
297,15.643073,54.364
298,15.672929,92.700
299,15.805734,78.203
300,15.831266,43.894
301,15.910105,37.661
302,15.921579,92.844
303,15.921863,50.651
304,15.934148,72.115
305,16.063791,37.426
306,16.073375,93.346
307,16.101613,152.089
308,16.193335,64.284
309,16.244957,73.586
310,16.319337,128.917
311,16.352309,45.537
312,16.453185,54.606
313,16.465915,43.266
314,16.489445,81.423
315,16.550744,75.060
316,16.590272,58.485
317,16.592277,66.291
318,16.596639,91.039
319,16.597005,75.483
320,16.650486,97.746
321,16.799713,56.814
322,16.829095,76.017
323,16.850633,67.982
324,16.965820,69.714
325,16.990923,49.725
326,17.148071,82.541
327,17.160177,77.592
328,17.239917,56.383
329,17.305022,40.435
330,17.331994,67.641
331,17.381829,43.662
332,17.441510,109.532
333,17.468167,54.376
334,17.656643,59.242
335,17.675609,170.797
336,17.742701,55.945
337,17.777498,50.080
338,17.880982,66.638
339,18.048233,85.813
340,18.059449,44.055
341,18.091257,62.802
342,18.133121,79.001
343,18.301035,48.547
344,18.590117,55.829
345,18.648607,70.706
346,18.720953,104.652
347,18.726157,75.446
348,18.729813,56.092
349,18.792913,68.748
350,18.814213,124.052
351,18.819636,66.186
352,18.833119,65.858
353,18.931598,64.112
354,19.070606,73.100
355,19.134404,59.612
356,19.158862,152.422
357,19.165160,70.133
358,19.199438,113.271
359,19.205250,42.629
360,19.257780,68.860
361,19.322044,46.968
362,19.345790,164.703
363,19.384393,46.409
364,19.499554,62.370
365,19.509633,60.417
366,19.529934,35.864
367,19.534158,62.276
368,19.572322,62.125
369,19.580863,87.884
370,19.584594,36.234
371,19.624840,120.486
372,19.638969,86.396
373,19.720029,32.741
374,19.758115,107.105
375,19.824812,87.119
376,19.904031,53.839
377,19.991372,61.974
378,20.013030,48.016
379,20.019129,88.830
380,20.029643,49.071
381,20.279434,60.360
382,20.421863,69.059
383,20.483809,222.709
384,20.503667,142.232
385,20.554907,62.693
386,20.613846,33.707
387,20.642804,42.267
388,20.651124,133.249
389,20.655600,49.728
390,20.709974,58.650
391,20.802980,73.197
392,20.835743,52.070
393,20.869004,78.626
394,20.896548,90.315
395,20.901921,83.261
396,20.906311,59.702
397,21.064703,44.432
398,21.276573,60.015
399,21.314927,44.517
400,21.316200,56.430
401,21.375750,68.597
402,21.393783,87.788
403,21.395182,42.276
404,21.404389,48.893
405,21.509871,49.921
406,21.525088,75.253
407,21.527879,48.856
408,21.536959,65.351
409,21.557451,76.127
410,21.562840,64.398
411,21.641887,133.518
412,21.645932,51.774
413,21.729004,47.954
414,21.814191,63.079
415,21.830889,93.609
416,21.843580,64.922
417,21.903126,49.342
418,21.930947,42.013
419,21.937112,71.906
420,21.944081,78.425
421,21.970484,61.520
422,21.999150,53.466
423,22.086276,61.335
424,22.127290,82.790
425,22.170057,80.195
426,22.201178,61.823
427,22.384978,80.129
428,22.442790,116.761
429,22.481604,47.486
430,22.488834,58.649
431,22.518322,77.790
432,22.520534,55.464
433,22.537828,40.385
434,22.547356,72.883
435,22.581677,52.966
436,22.599116,169.297
437,22.654130,75.546
438,22.749803,75.307
439,22.906484,38.310
440,22.937420,82.298
441,23.050421,112.613
442,23.074529,69.149
443,23.151545,79.804
444,23.195748,86.581
445,23.223291,47.186
446,23.277432,44.746
447,23.461288,113.964
448,23.493022,57.056
449,23.504757,36.220
450,23.660876,97.575
451,23.752728,63.114
452,23.781796,70.858
453,23.804920,60.971
454,23.812623,84.601
455,23.822960,62.744
456,23.874711,45.206
457,23.893903,60.363
458,23.922246,80.028
459,23.977507,150.470
460,23.984206,80.981
461,23.996331,194.736
462,24.001906,63.077
463,24.027285,133.588
464,24.031129,68.811
465,24.032109,92.764
466,24.091745,56.211
467,24.095553,79.322
468,24.188216,67.552
469,24.232987,39.961
470,24.236309,119.184
471,24.251884,74.167
472,24.297897,61.967
473,24.403132,36.903
474,24.440103,55.272
475,24.449791,42.360
476,24.545321,62.733
477,24.558164,118.320
478,24.614452,110.730
479,24.639933,43.642
480,24.699631,21.642
481,24.707764,81.540
482,24.818986,95.064
483,24.829155,68.378
484,24.838257,57.411
485,24.937051,56.459
486,25.039665,62.349
487,25.069589,77.583
488,25.151086,57.188
489,25.172990,68.484
490,25.218461,56.919
491,25.242403,73.840
492,25.248865,45.890
493,25.289525,43.314
494,25.340258,56.932
495,25.386213,32.067
496,25.394651,81.740
497,25.413802,105.565
498,25.437754,95.146
499,25.586073,30.597
500,25.591695,40.595

METRIC,VALUE
count,500
min_ms,21.641550
max_ms,273.757866
mean_ms,71.441679
median_ms,64.198373
p90_ms,110.853397
p95_ms,133.663988
p99_ms,170.976631
stdev_ms,31.665995
throughput_rps,19.524169
total_duration_s,25.609284
